"user"	"repo_url"	"repo_label_last"	"first_seen"	"last_seen"	"seen_count"	"updated_last"
"jhkr1"	"https://github.com/jhkr1/Codyssey_mission3"	"Codyssey_mission3"	"2026-04-13"	"2026-04-17"	"5"	"2026-04-16"
"junhnno"	"https://github.com/junhnno/Codyssey_WorkSpace_Week1"	"Codyssey_WorkSpace_Week1"	"2026-04-13"	"2026-04-17"	"5"	"2026-04-09"
"junhnno"	"https://github.com/junhnno/Codyssey_WorkSpace_Week2"	"Codyssey_WorkSpace_Week2"	"2026-04-13"	"2026-04-17"	"5"	"2026-04-11"
"kimch0612"	"https://github.com/kimch0612/Codyssey_Week1"	"Codyssey_Week1"	"2026-04-13"	"2026-04-17"	"5"	"2026-03-31"
"kimch0612"	"https://github.com/kimch0612/Codyssey_Week2"	"Codyssey_Week2"	"2026-04-13"	"2026-04-17"	"5"	"2026-04-01"
"kimch0612"	"https://github.com/kimch0612/Codyssey_Week3"	"Codyssey_Week3"	"2026-04-13"	"2026-04-17"	"5"	"2026-04-09"
"leehnmn"	"https://github.com/leehnmn/codyssey_2026/tree/main/project-1"	"codyssey_2026/project-1"	"2026-04-13"	"2026-04-17"	"5"	"2026-04-14"
"leehnmn"	"https://github.com/leehnmn/codyssey_2026/tree/main/project-2"	"codyssey_2026/project-2"	"2026-04-13"	"2026-04-17"	"5"	"2026-04-14"
"LimJongHan"	"https://github.com/LimJongHan/Codyssey-E1-1"	"Codyssey-E1-1"	"2026-04-17"	"2026-04-17"	"1"	"2026-04-03"
"LimJongHan"	"https://github.com/LimJongHan/Codyssey-E1-2"	"Codyssey-E1-2"	"2026-04-16"	"2026-04-17"	"2"	"2026-04-09"
"MetaStudy999"	"https://github.com/MetaStudy999/python-quiz-game"	"python-quiz-game"	"2026-04-16"	"2026-04-17"	"2"	"2026-04-16"
"mov-hyun"	"https://github.com/mov-hyun/e1-1-workstation-setup"	"e1-1-workstation-setup"	"2026-04-13"	"2026-04-17"	"5"	"2026-04-05"
"mov-hyun"	"https://github.com/mov-hyun/e1-2-python-basics-quiz-game"	"e1-2-python-basics-quiz-game"	"2026-04-13"	"2026-04-17"	"5"	"2026-04-14"
"mov-hyun"	"https://github.com/mov-hyun/e1-3-mini-npu-simulator"	"e1-3-mini-npu-simulator"	"2026-04-14"	"2026-04-17"	"4"	"2026-04-16"
"mulloc1"	"https://github.com/mulloc1/codyssey_first_python"	"codyssey_first_python"	"2026-04-13"	"2026-04-17"	"5"	"2026-04-06"
"mulloc1"	"https://github.com/mulloc1/codyssey_python_with_npu"	"codyssey_python_with_npu"	"2026-04-13"	"2026-04-17"	"5"	"2026-04-13"
"mulloc1"	"https://github.com/mulloc1/codyssey_workstation"	"codyssey_workstation"	"2026-04-13"	"2026-04-17"	"5"	"2026-03-31"
"NiceTry3675"	"https://github.com/NiceTry3675/E1-1"	"E1-1"	"2026-04-16"	"2026-04-17"	"2"	"2026-04-09"
"NiceTry3675"	"https://github.com/NiceTry3675/E1-2"	"E1-2"	"2026-04-16"	"2026-04-17"	"2"	"2026-04-11"
"ntt65"	"https://github.com/ntt65/codyssey/tree/main/e1_1"	"codyssey/e1_1"	"2026-04-13"	"2026-04-17"	"5"	"2026-04-15"
"ntt65"	"https://github.com/ntt65/codyssey/tree/main/e1_2"	"codyssey/e1_2"	"2026-04-14"	"2026-04-17"	"4"	"2026-04-15"
"ntt65"	"https://github.com/ntt65/codyssey/tree/main/e1_3"	"codyssey/e1_3"	"2026-04-16"	"2026-04-17"	"2"	"2026-04-15"
"PaKoo03"	"https://github.com/PaKoo03/Codyssey_01"	"Codyssey_01"	"2026-04-16"	"2026-04-17"	"2"	"2026-04-08"
"PaKoo03"	"https://github.com/PaKoo03/Codyssey_03"	"Codyssey_03"	"2026-04-16"	"2026-04-17"	"2"	"2026-04-16"
"peachily"	"https://github.com/peachily/codyssey11-E1"	"codyssey11-E1"	"2026-04-13"	"2026-04-17"	"5"	"2026-04-16"
"request10hour"	"https://github.com/request10hour/python-quiz-game"	"python-quiz-game"	"2026-04-16"	"2026-04-17"	"2"	"2026-04-06"
"shannonlee-dev"	"https://github.com/shannonlee-dev/mini-npu-simulator"	"mini-npu-simulator"	"2026-04-16"	"2026-04-17"	"2"	"2026-04-15"
"shannonlee-dev"	"https://github.com/shannonlee-dev/python-quiz-game-mission"	"python-quiz-game-mission"	"2026-04-16"	"2026-04-17"	"2"	"2026-04-01"
"skskwn"	"https://github.com/skskwn/AI-SW-Building-a-workstation"	"AI-SW-Building-a-workstation"	"2026-04-16"	"2026-04-17"	"2"	"2026-04-03"
"solbao-dev"	"https://github.com/solbao-dev/2nd_mission_quizgame"	"2nd_mission_quizgame"	"2026-04-16"	"2026-04-17"	"2"	"2026-04-09"
"solbao-dev"	"https://github.com/solbao-dev/Mission3_NPU"	"Mission3_NPU"	"2026-04-16"	"2026-04-17"	"2"	"2026-04-15"
"sonjehyun123-maker"	"https://github.com/sonjehyun123-maker/Codyssey-w1-E1"	"Codyssey-w1-E1"	"2026-04-13"	"2026-04-17"	"5"	"2026-04-03"
"sonjehyun123-maker"	"https://github.com/sonjehyun123-maker/Codyssey-w1-E2"	"Codyssey-w1-E2"	"2026-04-13"	"2026-04-17"	"5"	"2026-04-10"
"star-candy"	"https://github.com/star-candy/codyssey1-1"	"codyssey1-1"	"2026-04-17"	"2026-04-17"	"1"	"2026-04-03"
"star-candy"	"https://github.com/star-candy/codyssey1-2"	"codyssey1-2"	"2026-04-16"	"2026-04-17"	"2"	"2026-04-04"
"star-candy"	"https://github.com/star-candy/codyssey1-3"	"codyssey1-3"	"2026-04-17"	"2026-04-17"	"1"	"2026-04-04"
"sungho255"	"https://github.com/sungho255/codyssey_1"	"codyssey_1"	"2026-04-13"	"2026-04-17"	"5"	"2026-04-07"
"sungho255"	"https://github.com/sungho255/codyssey_2"	"codyssey_2"	"2026-04-14"	"2026-04-17"	"4"	"2026-04-07"
"xifoxy-ru"	"https://github.com/xifoxy-ru/codyssey_week_01"	"codyssey_week_01"	"2026-04-16"	"2026-04-17"	"2"	"2026-04-09"
"xifoxy-ru"	"https://github.com/xifoxy-ru/codyssey_week_02"	"codyssey_week_02"	"2026-04-16"	"2026-04-17"	"2"	"2026-04-12"
"xifoxy-ru"	"https://github.com/xifoxy-ru/codyssey_week_03"	"codyssey_week_03"	"2026-04-16"	"2026-04-17"	"2"	"2026-04-16"
"yejibaek12"	"https://github.com/yejibaek12/Python-Quiz-Game"	"Python-Quiz-Game"	"2026-04-13"	"2026-04-17"	"5"	"2026-04-13"
"yejoo0310"	"https://github.com/yejoo0310/codyssey-m1"	"codyssey-m1"	"2026-04-13"	"2026-04-17"	"5"	"2026-04-05"
"yejoo0310"	"https://github.com/yejoo0310/codyssey-m2"	"codyssey-m2"	"2026-04-13"	"2026-04-17"	"5"	"2026-04-10"
"yejoo0310"	"https://github.com/yejoo0310/codyssey-m3"	"codyssey-m3"	"2026-04-13"	"2026-04-17"	"5"	"2026-04-15"
"yeowon083"	"https://github.com/yeowon083/quiz-game"	"quiz-game"	"2026-04-13"	"2026-04-17"	"5"	"2026-04-15"
"yun-lim"	"https://github.com/yun-lim/codyssey-w1"	"codyssey-w1"	"2026-04-17"	"2026-04-17"	"1"	"2026-04-06"
"yun-lim"	"https://github.com/yun-lim/codyssey-w2"	"codyssey-w2"	"2026-04-16"	"2026-04-17"	"2"	"2026-04-10"
"yun-lim"	"https://github.com/yun-lim/codyssey-week2"	"codyssey-week2"	"2026-04-17"	"2026-04-17"	"1"	"2026-04-16"
"yun-lim"	"https://github.com/yun-lim/codyssey-week3"	"codyssey-week3"	"2026-04-17"	"2026-04-17"	"1"	"2026-04-16"
